Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,VPN Connection,0,640,7680.00,USD,"Working days per month (22), Number of Site-to-Site VPN Connections (0), Number of subnet associations (5)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,157.86,1894.32,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),application ELB,Application Load Balancer,0,25.189999999999998,302.28,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),web ELB,Application Load Balancer,0,68.99000000000001,827.88,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),web servers,Amazon EC2,0,528.02,6336.24,USD,"Operating system (Linux), Quantity (15), Pricing strategy (On-Demand Instances), Storage amount (30 GB), Instance type (t2.medium)"
My Estimate,US East (N. Virginia),Aurora Master DB,Amazon Aurora PostgreSQL-Compatible DB,0,2261.52,27138.24,USD,"Storage amount (3 TB), Additional backup storage (5 TB)"
My Estimate,US East (N. Virginia),Elastic IP,Amazon Elastic IP,0,24,288.00,USD,"Number of EC2 instances (20), Number of EIPs per instance (1), Number of EIP remaps (80)"
My Estimate,US East (N. Virginia),CDN,Amazon CloudFront,0,4.2,50.40,USD,"Data transfer out to internet (20 GB per month), Data transfer out to origin (25 GB per month), Number of requests (HTTPS) (2 million per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,26.98,323.76,USD,S3 Standard storage (1 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),application servers (on-demand),Amazon EC2,0,1291.19,15494.28,USD,"Operating system (Linux), Quantity (10), Pricing strategy (On-Demand Instances), Storage amount (1 TB), Instance type (m6g.medium)"
My Estimate,US East (N. Virginia),Aurora DB Replica,Amazon Aurora PostgreSQL-Compatible DB,0,1299.5,15594.00,USD,"Storage amount (3 TB), Additional backup storage (1 TB)"
